X, Y
New Line
56.8, -2.49999999999999
0, -2.5
New Line
-3.06161699786838E-16, 2.5
0, -2.5
New Line
56.8, 2.5
0, 2.5
New Line
59.8585786437627, 5.3585786437627
57.1414213562373, 2.64142135623731
New Line
59.8585786437627, -5.35857864376268
57.1414213562373, -2.6414213562373
New Line
59.8585786437627, -5.35857864376268
57.1414213562373, -2.6414213562373
New Line
56.8, -2.49999999999999
0, -2.5
New Line
60.1820562485619, 15.9458131868993
60.1820562485619, -15.9458131868993
New Line
62.5, 17
62.5, -17
New Line
60.1820562485619, 15.9458131868993
62.5, 17
New Line
60.1820562485619, -15.9458131868993
62.5, -17
New Line
59.8585786437627, -5.35857864376268
59.8585786437627, 5.3585786437627
New Line
59.8585786437627, -5.35857864376268
57.1414213562373, -2.6414213562373
